AREA_SQMI,COUNTY,GEOM.coordinates,GEOM.type,ID_BLOCK,ID_BLOCK_CODE,ID_EBD_NAME,ID_NCBA_BLOCK,ID_OLD_ID,ID_S123_NOSPACES,ID_S123_NOSPACES_TEMP,ID_S123_SPACES,ID_S123_SPACES_TEMP,ID_WEB_BLOCKMAP,NW_X,NW_Y,POSITION,PRIORITY,QUADID,QUAD_BLOCK,QUAD_NAME,REGION,SE_X,SE_Y,SUBNAT2,TYPE,_id
10.096301,SWAIN,"[[[-83.3125119,35.70835415],[-83.3125119,35.66668728],[-83.25001181,35.66668728],[-83.25001181,35.70835415],[-83.3125119,35.70835415]]]",Polygon,MOUNT GUYOT-CE,35083F3CE,Mount Guyot CE,MOUNT_GUYOT-CE,Mount-Guyot-CE,Mount_Guyot_CE,Mount_Guyot_CE,Mount Guyot CE,Mount Guyot CE,Mount Guyot CE,-83.3125119,35.70835415,Border,0,35083f3,CE,MOUNT GUYOT,9,-83.25001181,35.66668728,US-NC-173,Non-priority,35083F3CE
10.09123013,HAYWOOD,"[[[-83.31251191,35.75002093],[-83.31251191,35.70835407],[-83.25001181,35.70835407],[-83.25001181,35.75002093],[-83.31251191,35.75002093]]]",Polygon,MOUNT GUYOT-NE,35083F3NE,Mount Guyot NE,MOUNT_GUYOT-NE,Mount-Guyot-NE,Mount_Guyot_NE,Mount_Guyot_NE,Mount Guyot NE,Mount Guyot NE,Mount Guyot NE,-83.31251191,35.75002093,Border,0,35083f3,NE,MOUNT GUYOT,9,-83.25001181,35.70835407,US-NC-087,Non-priority,35083F3NE
10.10136305,SWAIN,"[[[-83.31251194,35.66668734],[-83.31251194,35.62502058],[-83.25001172,35.62502058],[-83.25001172,35.66668734],[-83.31251194,35.66668734]]]",Polygon,MOUNT GUYOT-SE,35083F3SE,Mount Guyot SE,MOUNT_GUYOT-SE,Mount-Guyot-SE,Mount_Guyot_SE,Mount_Guyot_SE,Mount Guyot SE,Mount Guyot SE,Mount Guyot SE,-83.31251194,35.66668734,Border,1,35083f3,SE,MOUNT GUYOT,9,-83.25001172,35.62502058,US-NC-173,Priority,35083F3SE
10.10131135,SWAIN,"[[[-83.37501187,35.66668728],[-83.37501187,35.62502055],[-83.3125119,35.62502055],[-83.3125119,35.66668728],[-83.37501187,35.66668728]]]",Polygon,MOUNT GUYOT-SW,35083F3SW,Mount Guyot SW,MOUNT_GUYOT-SW,Mount-Guyot-SW,Mount_Guyot_SW,Mount_Guyot_SW,Mount Guyot SW,Mount Guyot SW,Mount Guyot SW,-83.37501187,35.66668728,Border,0,35083f3,SW,MOUNT GUYOT,9,-83.3125119,35.62502055,US-NC-173,Non-priority,35083F3SW
10.14212976,GASTON,"[[[-81.0625101,35.33335425],[-81.0625101,35.29168738],[-81.00001,35.29168738],[-81.00001,35.33335425],[-81.0625101,35.33335425]]]",Polygon,MOUNT HOLLY-CE,35081C1CE,Mount Holly CE,MOUNT_HOLLY-CE,Mount-Holly-CE,Mount_Holly_CE,Mount_Holly_CE,Mount Holly CE,Mount Holly CE,Mount Holly CE,-81.0625101,35.33335425,Inside,0,35081c1,CE,MOUNT HOLLY,8,-81.00001,35.29168738,US-NC-071,Non-priority,35081C1CE
10.1421103,GASTON,"[[[-81.12501008,35.33335425],[-81.12501008,35.29168739],[-81.0625101,35.29168739],[-81.0625101,35.33335425],[-81.12501008,35.33335425]]]",Polygon,MOUNT HOLLY-CW,35081C1CW,Mount Holly CW,MOUNT_HOLLY-CW,Mount-Holly-CW,Mount_Holly_CW,Mount_Holly_CW,Mount Holly CW,Mount Holly CW,Mount Holly CW,-81.12501008,35.33335425,Inside,0,35081c1,CW,MOUNT HOLLY,8,-81.0625101,35.29168739,US-NC-071,Non-priority,35081C1CW
10.13697769,GASTON,"[[[-81.06251013,35.37502087],[-81.06251013,35.3333542],[-81.00001,35.3333542],[-81.00001,35.37502087],[-81.06251013,35.37502087]]]",Polygon,MOUNT HOLLY-NE,35081C1NE,Mount Holly NE,MOUNT_HOLLY-NE,Mount-Holly-NE,Mount_Holly_NE,Mount_Holly_NE,Mount Holly NE,Mount Holly NE,Mount Holly NE,-81.06251013,35.37502087,Inside,0,35081c1,NE,MOUNT HOLLY,8,-81.00001,35.3333542,US-NC-071,Non-priority,35081C1NE
10.13695817,GASTON,"[[[-81.12501008,35.37502092],[-81.12501008,35.33335421],[-81.0625101,35.33335421],[-81.0625101,35.37502092],[-81.12501008,35.37502092]]]",Polygon,MOUNT HOLLY-NW,35081C1NW,Mount Holly NW,MOUNT_HOLLY-NW,Mount-Holly-NW,Mount_Holly_NW,Mount_Holly_NW,Mount Holly NW,Mount Holly NW,Mount Holly NW,-81.12501008,35.37502092,Inside,0,35081c1,NW,MOUNT HOLLY,8,-81.0625101,35.33335421,US-NC-071,Non-priority,35081C1NW
10.14722633,GASTON,"[[[-81.0625101,35.29168747],[-81.0625101,35.25002072],[-81.00000974,35.25002072],[-81.00000974,35.29168747],[-81.0625101,35.29168747]]]",Polygon,MOUNT HOLLY-SE,35081C1SE,Mount Holly SE,MOUNT_HOLLY-SE,Mount-Holly-SE,Mount_Holly_SE,Mount_Holly_SE,Mount Holly SE,Mount Holly SE,Mount Holly SE,-81.0625101,35.29168747,Inside,1,35081c1,SE,MOUNT HOLLY,8,-81.00000974,35.25002072,US-NC-071,Priority,35081C1SE
10.14721912,GASTON,"[[[-81.12501011,35.29168747],[-81.12501011,35.25002067],[-81.06250995,35.25002067],[-81.06250995,35.29168747],[-81.12501011,35.29168747]]]",Polygon,MOUNT HOLLY-SW,35081C1SW,Mount Holly SW,MOUNT_HOLLY-SW,Mount-Holly-SW,Mount_Holly_SW,Mount_Holly_SW,Mount Holly SW,Mount Holly SW,Mount Holly SW,-81.12501011,35.29168747,Inside,0,35081c1,SW,MOUNT HOLLY,8,-81.06250995,35.25002067,US-NC-071,Non-priority,35081C1SW
10.10131787,SWAIN,"[[[-83.43751186,35.66668722],[-83.43751186,35.62502053],[-83.37501175,35.62502053],[-83.37501175,35.66668722],[-83.43751186,35.66668722]]]",Polygon,MOUNT LE CONTE-SE,35083F4SE,Mount Le Conte SE,MOUNT_LE_CONTE-SE,Mount-Le-Conte-SE,Mount_Le_Conte_SE,Mount_Le_Conte_SE,Mount Le Conte SE,Mount Le Conte SE,Mount Le Conte SE,-83.43751186,35.66668722,Border,0,35083f4,SE,MOUNT LE CONTE,9,-83.37501175,35.62502053,US-NC-173,Non-priority,35083F4SE
10.08112721,YANCEY,"[[[-82.31251116,35.83335433],[-82.31251116,35.79168761],[-82.25001079,35.79168761],[-82.25001079,35.83335433],[-82.31251116,35.83335433]]]",Polygon,MOUNT MITCHELL-CE,35082G3CE,Mount Mitchell CE,MOUNT_MITCHELL-CE,Mount-Mitchell-CE,Mount_Mitchell_CE,Mount_Mitchell_CE,Mount Mitchell CE,Mount Mitchell CE,Mount Mitchell CE,-82.31251116,35.83335433,Inside,0,35082g3,CE,MOUNT MITCHELL,8,-82.25001079,35.79168761,US-NC-199,Non-priority,35082G3CE
10.08114553,YANCEY,"[[[-82.37501169,35.83335431],[-82.37501169,35.79168761],[-82.31251116,35.79168761],[-82.31251116,35.83335431],[-82.37501169,35.83335431]]]",Polygon,MOUNT MITCHELL-CW,35082G3CW,Mount Mitchell CW,MOUNT_MITCHELL-CW,Mount-Mitchell-CW,Mount_Mitchell_CW,Mount_Mitchell_CW,Mount Mitchell CW,Mount Mitchell CW,Mount Mitchell CW,-82.37501169,35.83335431,Inside,0,35082g3,CW,MOUNT MITCHELL,8,-82.31251116,35.79168761,US-NC-199,Non-priority,35082G3CW
